student_id,student_name,class,question_id,knowledge_point,competency,difficulty,full_score,score,is_correct,error_type
S21,学生21,初二(3)班,Q7,从函数图象获取信息,数据观念,中,8,2,0,审题错误
S21,学生21,初二(3)班,Q8,一次函数最优方案决策,应用意识,难,10,1,0,应用迁移不足
S22,学生22,初二(3)班,Q1,一次函数的概念,抽象能力,易,5,5,1,
S22,学生22,初二(3)班,Q2,一次函数的图象与性质,几何直观,中,5,4,1,
S22,学生22,初二(3)班,Q3,待定系数法求解析式,运算能力,中,5,4,1,
S22,学生22,初二(3)班,Q4,一次函数与方程、不等式,推理能力,中,5,4,1,
S22,学生22,初二(3)班,Q5,k、b 符号与图象的关系,几何直观,中,5,4,1,
S22,学生22,初二(3)班,Q6,一次函数的实际应用(建模),模型观念,难,10,6,1,
S22,学生22,初二(3)班,Q7,从函数图象获取信息,数据观念,中,8,6,1,
S22,学生22,初二(3)班,Q8,一次函数最优方案决策,应用意识,难,10,7,1,
S23,学生23,初二(3)班,Q1,一次函数的概念,抽象能力,易,5,3,1,
S23,学生23,初二(3)班,Q2,一次函数的图象与性质,几何直观,中,5,3,1,
S23,学生23,初二(3)班,Q3,待定系数法求解析式,运算能力,中,5,3,1,
S23,学生23,初二(3)班,Q4,一次函数与方程、不等式,推理能力,中,5,2,0,推理不严谨
S23,学生23,初二(3)班,Q5,k、b 符号与图象的关系,几何直观,中,5,2,0,数形结合薄弱
S23,学生23,初二(3)班,Q6,一次函数的实际应用(建模),模型观念,难,10,1,0,建模困难
S23,学生23,初二(3)班,Q7,从函数图象获取信息,数据观念,中,8,5,1,
S23,学生23,初二(3)班,Q8,一次函数最优方案决策,应用意识,难,10,3,0,应用迁移不足
S24,学生24,初二(3)班,Q1,一次函数的概念,抽象能力,易,5,5,1,
S24,学生24,初二(3)班,Q2,一次函数的图象与性质,几何直观,中,5,3,1,
S24,学生24,初二(3)班,Q3,待定系数法求解析式,运算能力,中,5,4,1,
S24,学生24,初二(3)班,Q4,一次函数与方程、不等式,推理能力,中,5,4,1,
S24,学生24,初二(3)班,Q5,k、b 符号与图象的关系,几何直观,中,5,4,1,
S24,学生24,初二(3)班,Q6,一次函数的实际应用(建模),模型观念,难,10,3,0,建模困难
S24,学生24,初二(3)班,Q7,从函数图象获取信息,数据观念,中,8,4,0,审题错误
S24,学生24,初二(3)班,Q8,一次函数最优方案决策,应用意识,难,10,5,0,应用迁移不足
S25,学生25,初二(3)班,Q1,一次函数的概念,抽象能力,易,5,5,1,
S25,学生25,初二(3)班,Q2,一次函数的图象与性质,几何直观,中,5,3,1,
S25,学生25,初二(3)班,Q3,待定系数法求解析式,运算能力,中,5,3,1,
S25,学生25,初二(3)班,Q4,一次函数与方程、不等式,推理能力,中,5,3,1,
S25,学生25,初二(3)班,Q5,k、b 符号与图象的关系,几何直观,中,5,3,1,
S25,学生25,初二(3)班,Q6,一次函数的实际应用(建模),模型观念,难,10,4,0,建模困难
S25,学生25,初二(3)班,Q7,从函数图象获取信息,数据观念,中,8,5,1,
S25,学生25,初二(3)班,Q8,一次函数最优方案决策,应用意识,难,10,4,0,应用迁移不足
S26,学生26,初二(3)班,Q1,一次函数的概念,抽象能力,易,5,4,1,
S26,学生26,初二(3)班,Q2,一次函数的图象与性质,几何直观,中,5,3,1,
S26,学生26,初二(3)班,Q3,待定系数法求解析式,运算能力,中,5,3,1,
S26,学生26,初二(3)班,Q4,一次函数与方程、不等式,推理能力,中,5,2,0,推理不严谨
S26,学生26,初二(3)班,Q5,k、b 符号与图象的关系,几何直观,中,5,3,1,
S26,学生26,初二(3)班,Q6,一次函数的实际应用(建模),模型观念,难,10,3,0,建模困难
S26,学生26,初二(3)班,Q7,从函数图象获取信息,数据观念,中,8,3,0,审题错误
S26,学生26,初二(3)班,Q8,一次函数最优方案决策,应用意识,难,10,1,0,应用迁移不足
S27,学生27,初二(3)班,Q1,一次函数的概念,抽象能力,易,5,5,1,
S27,学生27,初二(3)班,Q2,一次函数的图象与性质,几何直观,中,5,3,1,
S27,学生27,初二(3)班,Q3,待定系数法求解析式,运算能力,中,5,4,1,
S27,学生27,初二(3)班,Q4,一次函数与方程、不等式,推理能力,中,5,3,1,
S27,学生27,初二(3)班,Q5,k、b 符号与图象的关系,几何直观,中,5,3,1,
S27,学生27,初二(3)班,Q6,一次函数的实际应用(建模),模型观念,难,10,5,0,建模困难
S27,学生27,初二(3)班,Q7,从函数图象获取信息,数据观念,中,8,5,1,
S27,学生27,初二(3)班,Q8,一次函数最优方案决策,应用意识,难,10,5,0,应用迁移不足
S28,学生28,初二(3)班,Q1,一次函数的概念,抽象能力,易,5,5,1,
S28,学生28,初二(3)班,Q2,一次函数的图象与性质,几何直观,中,5,2,0,数形结合薄弱
S28,学生28,初二(3)班,Q3,待定系数法求解析式,运算能力,中,5,2,0,计算失误
S28,学生28,初二(3)班,Q4,一次函数与方程、不等式,推理能力,中,5,2,0,推理不严谨
S28,学生28,初二(3)班,Q5,k、b 符号与图象的关系,几何直观,中,5,3,1,
S28,学生28,初二(3)班,Q6,一次函数的实际应用(建模),模型观念,难,10,3,0,建模困难
S28,学生28,初二(3)班,Q7,从函数图象获取信息,数据观念,中,8,3,0,审题错误
S28,学生28,初二(3)班,Q8,一次函数最优方案决策,应用意识,难,10,3,0,应用迁移不足
S29,学生29,初二(3)班,Q1,一次函数的概念,抽象能力,易,5,5,1,
S29,学生29,初二(3)班,Q2,一次函数的图象与性质,几何直观,中,5,4,1,
S29,学生29,初二(3)班,Q3,待定系数法求解析式,运算能力,中,5,5,1,
S29,学生29,初二(3)班,Q4,一次函数与方程、不等式,推理能力,中,5,4,1,
S29,学生29,初二(3)班,Q5,k、b 符号与图象的关系,几何直观,中,5,4,1,
S29,学生29,初二(3)班,Q6,一次函数的实际应用(建模),模型观念,难,10,7,1,
S29,学生29,初二(3)班,Q7,从函数图象获取信息,数据观念,中,8,7,1,
S29,学生29,初二(3)班,Q8,一次函数最优方案决策,应用意识,难,10,5,0,应用迁移不足
S30,学生30,初二(3)班,Q1,一次函数的概念,抽象能力,易,5,5,1,
S30,学生30,初二(3)班,Q2,一次函数的图象与性质,几何直观,中,5,3,1,
S30,学生30,初二(3)班,Q3,待定系数法求解析式,运算能力,中,5,4,1,
S30,学生30,初二(3)班,Q4,一次函数与方程、不等式,推理能力,中,5,2,0,推理不严谨
S30,学生30,初二(3)班,Q5,k、b 符号与图象的关系,几何直观,中,5,3,1,
S30,学生30,初二(3)班,Q6,一次函数的实际应用(建模),模型观念,难,10,3,0,建模困难
S30,学生30,初二(3)班,Q7,从函数图象获取信息,数据观念,中,8,5,1,
S30,学生30,初二(3)班,Q8,一次函数最优方案决策,应用意识,难,10,3,0,应用迁移不足
